Date/Time,Open,High,Low,Close,Volume,Open Interest
2018-12-25,30.89,30.89,30.59,30.66,84960,0
2018-12-26,31.04,31.22,30.89,30.89,333590,0
2018-12-27,31.41,31.52,31.19,31.19,454860,0
2018-12-28,31.34,31.49,31.19,31.49,387170,0
2018-12-29,,,,,0,0
2018-12-30,,,,,0,0
2018-12-31,,,,,0,0
2019-01-01,,,,,0,0
2019-01-02,31.19,31.45,30.7,30.74,459120,0
2019-01-03,30.93,30.93,30.37,30.44,716600,0
2019-01-04,30.29,30.93,30.22,30.66,318570,0
2019-01-05,,,,,0,0
2019-01-06,,,,,0,0
2019-01-07,31.19,31.41,31.04,31.19,408470,0
2019-01-08,31.19,31.34,31.11,31.34,295660,0
2019-01-09,31.41,31.78,31.26,31.63,309040,0
2019-01-10,31.63,31.75,31.45,31.45,207330,0
2019-01-11,31.63,31.75,31.37,31.49,596090,0
2019-01-12,,,,,0,0
2019-01-13,,,,,0,0
2019-01-14,31.56,31.78,31.34,31.71,398400,0
2019-01-15,31.56,31.93,31.56,31.93,339480,0
2019-01-16,32.08,32.08,31.75,31.75,186590,0
2019-01-17,31.71,31.9,31.34,31.34,379770,0
2019-01-18,31.41,31.71,31.34,31.34,227150,0
2019-01-19,,,,,0,0
2019-01-20,,,,,0,0
2019-01-21,31.49,31.93,31.49,31.71,247800,0
2019-01-22,31.71,31.9,31.6,31.6,141480,0
2019-01-23,31.56,31.63,31.45,31.6,193460,0
2019-01-24,31.63,31.78,31.6,31.67,234470,0
2019-01-25,31.63,31.78,31.56,31.63,213470,0
2019-01-26,,,,,0,0
2019-01-27,,,,,0,0
2019-01-28,31.71,31.71,31.41,31.41,216330,0
2019-01-29,31.63,31.71,31.34,31.71,430580,0
2019-01-30,31.71,32.38,31.63,32.23,689260,0
2019-01-31,32.31,32.38,32.01,32.23,517260,0
2019-02-01,32.23,32.23,30.96,31.78,599890,0
2019-02-02,,,,,0,0
2019-02-03,,,,,0,0
2019-02-04,,,,,0,0
2019-02-05,,,,,0,0
2019-02-06,,,,,0,0
2019-02-07,,,,,0,0
2019-02-08,,,,,0,0
2019-02-09,,,,,0,0
2019-02-10,,,,,0,0
2019-02-11,32.08,33.05,31.86,32.94,1000430,0
2019-02-12,32.83,33.28,32.75,32.75,701570,0
2019-02-13,32.83,33.57,32.83,33.24,1125370,0
2019-02-14,33.31,33.5,33.01,33.01,616980,0
2019-02-15,33.01,33.16,32.83,32.98,647230,0
2019-02-16,,,,,0,0
2019-02-17,,,,,0,0
2019-02-18,33.2,33.28,32.9,33.13,306310,0
2019-02-19,33.35,33.69,33.05,33.13,1470880,0
2019-02-20,33.05,33.61,33.05,33.46,499430,0
2019-02-21,33.28,33.5,33.05,33.42,749950,0
2019-02-22,33.42,33.87,33.13,33.72,1243720,0
2019-02-23,,,,,0,0
2019-02-24,,,,,0,0
2019-02-25,34.02,34.47,33.91,33.95,1023660,0
2019-02-26,33.98,34.02,33.57,33.72,663220,0
2019-02-27,33.72,33.91,33.5,33.65,485650,0
2019-02-28,33.65,33.65,32.98,32.98,1372190,0
2019-03-01,33.24,33.28,32.94,33.28,590780,0
2019-03-02,,,,,0,0
2019-03-03,,,,,0,0
2019-03-04,33.28,33.72,33.28,33.57,806770,0
2019-03-05,33.57,33.72,33.42,33.5,824300,0
2019-03-06,33.54,33.65,33.16,33.28,695230,0
2019-03-07,33.28,33.57,33.28,33.39,374340,0
2019-03-08,33.35,33.42,33.16,33.31,693180,0
2019-03-09,,,,,0,0
2019-03-10,,,,,0,0
2019-03-11,33.31,33.46,33.16,33.2,364520,0
2019-03-12,33.39,34.69,33.39,34.69,1930870,0
2019-03-13,34.62,34.84,34.47,34.47,1001890,0
2019-03-14,34.47,34.69,34.32,34.51,533480,0
2019-03-15,34.54,34.54,34.13,34.32,1041840,0
2019-03-16,,,,,0,0
2019-03-17,,,,,0,0
2019-03-18,34.54,34.66,34.28,34.47,994080,0
2019-03-19,34.47,34.54,34.1,34.1,914720,0
2019-03-20,34.02,34.25,33.76,33.91,797270,0
2019-03-21,34.17,34.17,33.65,33.65,825740,0
2019-03-22,33.65,33.87,33.61,33.61,687690,0
2019-03-23,,,,,0,0
2019-03-24,,,,,0,0
2019-03-25,32.98,33.57,32.98,33.13,633520,0
2019-03-26,33.57,33.57,33.2,33.39,386120,0
2019-03-27,33.42,33.65,33.42,33.57,589040,0
2019-03-28,33.39,33.84,33.39,33.69,362360,0
2019-03-29,34.02,34.02,33.8,33.95,446750,0
2019-03-30,,,,,0,0
2019-03-31,,,,,0,0
2019-04-01,34.25,34.25,33.95,34.17,327500,0
